CompanyCode,CompanyName,IndustryCode,Province
001212,中旗新材,广东省,C30
001213,中铁特货,北京市,G53
001215,千味央厨,河南省,C14
001216,华瓷股份,湖南省,C30
001217,华尔泰,安徽省,C26
001218,丽臣实业,湖南省,C26
001219,青岛食品,山东省,C14
001227,兰州银行,甘肃省,J66
001234,泰慕士,江苏省,C18
001267,汇绿生态,湖北省,E48
001288,运机集团,四川省,C34
001289,龙源电力,北京市,D44
001296,长江材料,重庆市,C30
001313,粤海饲料,广东省,C13
001317,三羊马,重庆市,G58
001696,宗申动力,重庆市,C37
001872,招商港口,广东省,G55
001896,豫能控股,河南省,D44
001914,招商积余,广东省,K70
001965,招商公路,天津市,G54
001979,招商蛇口,广东省,K70
002001,新和成,浙江省,C27
002002,鸿达兴业,江苏省,C26
002003,伟星股份,浙江省,C18
002004,华邦健康,重庆市,C26
002006,精功科技,浙江省,C35
002007,华兰生物,河南省,C27
002008,大族激光,广东省,C35
002009,天奇股份,江苏省,C34
002010,传化智联,浙江省,L72
002011,盾安环境,浙江省,C34
002012,凯恩股份,浙江省,C22
002014,永新股份,安徽省,C29
002015,协鑫能科,江苏省,D44
002016,世荣兆业,广东省,K70
002017,东信和平,广东省,C39
002019,亿帆医药,浙江省,C27
002020,京新药业,浙江省,C27
002022,科华生物,上海市,C27
002023,海特高新,四川省,C37
002025,航天电器,贵州省,C39
002026,山东威达,山东省,C33
002027,分众传媒,广东省,L72
002028,思源电气,上海市,C38
002029,七匹狼,福建省,C18
002030,达安基因,广东省,C27
002031,巨轮智能,广东省,C35
002032,苏泊尔,浙江省,C33
002033,丽江股份,云南省,N78
002034,旺能环境,浙江省,N77
002035,华帝股份,广东省,C38
002036,联创电子,江西省,C39
002037,保利联合,贵州省,C26
002038,双鹭药业,北京市,C27
002039,黔源电力,贵州省,D44
002040,南京港,江苏省,G55
002041,登海种业,山东省,A01
002042,华孚时尚,安徽省,C17
002043,兔宝宝,浙江省,C20
002044,美年健康,江苏省,Q83
002045,国光电器,广东省,C39
002046,国机精工,河南省,C34
002047,宝鹰股份,广东省,E50
002048,宁波华翔,浙江省,C36
002049,紫光国微,河北省,C39
002050,三花智控,浙江省,C34
002051,中工国际,北京市,E48
002053,云南能投,云南省,C14
002054,德美化工,广东省,C26
002055,得润电子,广东省,C39
002056,横店东磁,浙江省,C38
002057,中钢天源,安徽省,C26
002058,*ST 威尔,上海市,C40
002059,云南旅游,云南省,N78
002060,粤水电,广东省,E48
002061,浙江交科,浙江省,E48
002062,宏润建设,浙江省,E48
002063,远光软件,广东省,I65
002064,华峰化学,浙江省,C28
002065,东华软件,北京市,I65
002066,瑞泰科技,北京市,C30
002067,景兴纸业,浙江省,C22
002068,黑猫股份,江西省,C26
002072,*ST 凯瑞,湖北省,I64
002073,软控股份,山东省,C35
002074,国轩高科,安徽省,C38
002075,沙钢股份,江苏省,C31
002077,大港股份,江苏省,C39
002078,太阳纸业,山东省,C22
002079,苏州固锝,江苏省,C39
002080,中材科技,江苏省,C30
002081,金螳螂,江苏省,E50
002082,万邦德,浙江省,C27
002083,孚日股份,山东省,C17
002084,海鸥住工,广东省,C33
002085,万丰奥威,浙江省,C36
002087,新野纺织,河南省,C17
002088,鲁阳节能,山东省,C30
002090,金智科技,江苏省,C38
002091,江苏国泰,江苏省,F51
002092,中泰化学,新疆维吾尔自治区,C26
002093,国脉科技,福建省,I65
002094,青岛金王,山东省,C26
002095,生意宝,浙江省,I64
002096,南岭民爆,湖南省,C26
002097,山河智能,湖南省,C35
002098,浔兴股份,福建省,C41
002099,海翔药业,浙江省,C27
002100,天康生物,新疆维吾尔自治区,C13
002101,广东鸿图,广东省,C36
002103,广博股份,浙江省,L72
002104,恒宝股份,江苏省,C39
002105,信隆健康,广东省,C37
002106,莱宝高科,广东省,C39
002107,沃华医药,山东省,C27
002108,沧州明珠,河北省,C29
002109,兴化股份,陕西省,C26
002110,三钢闽光,福建省,C31
002111,威海广泰,山东省,C35
002112,三变科技,浙江省,C38
002114,罗平锌电,云南省,C32
002115,三维通信,浙江省,L72
002116,中国海诚,上海市,E48
002117,东港股份,山东省,C23
002118,紫鑫药业,吉林省,C27
002119,康强电子,浙江省,C39
002120,韵达股份,浙江省,G60
002121,科陆电子,广东省,C40
002122,ST 天马,浙江省,C34
002123,梦网科技,辽宁省,I65
002124,天邦股份,浙江省,A03
002125,湘潭电化,湖南省,C26
002126,银轮股份,浙江省,C36
002127,南极电商,江苏省,L72
002128,电投能源,内蒙古自治区,B06
002129,中环股份,天津市,C38
002130,沃尔核材,广东省,C39
002131,利欧股份,浙江省,I64
002132,恒星科技,河南省,C33
002133,广宇集团,浙江省,K70
002134,天津普林,天津市,C39
002135,东南网架,浙江省,C33
002136,安纳达,安徽省,C26
002137,实益达,广东省,C39
002138,顺络电子,广东省,C39
002139,拓邦股份,广东省,C38
002140,东华科技,安徽省,E48
002141,贤丰控股,广东省,C38
002142,宁波银行,浙江省,J66
002144,宏达高科,浙江省,C17
002145,中核钛白,甘肃省,C26
002146,荣盛发展,河北省,K70
002148,北纬科技,北京市,I65
002149,西部材料,陕西省,C32
002150,通润装备,江苏省,C33
002151,北斗星通,北京市,C39
002152,广电运通,广东省,C34
002153,石基信息,北京市,I65
002154,报喜鸟,浙江省,C18
002155,湖南黄金,湖南省,B09
002156,通富微电,江苏省,C39
002157,正邦科技,江西省,A03
002158,汉钟精机,上海市,C34
002159,三特索道,湖北省,N78
002160,常铝股份,江苏省,C32
002161,远望谷,广东省,C39
002162,悦心健康,上海市,C30
002163,海南发展,广东省,E50
002164,宁波东力,浙江省,C35
002165,红宝丽,江苏省,C26
002166,莱茵生物,广西壮族自治区,C27
002167,东方锆业,广东省,C32
002168,惠程科技,广东省,I64
002169,智光电气,广东省,C38
002170,芭田股份,广东省,C26
002171,楚江新材,安徽省,C32
002172,澳洋健康,江苏省,C28
002173,创新医疗,浙江省,Q83
002174,游族网络,福建省,I64
002175,*ST 东网,广西壮族自治区,C40
002176,江特电机,江西省,C38
002178,延华智能,上海市,M74
002179,中航光电,河南省,C39
002180,纳思达,广东省,C39
002181,粤传媒,广东省,L72
002182,云海金属,江苏省,C32
002183,怡亚通,广东省,L72
002184,海得控制,上海市,C38
002185,华天科技,甘肃省,C39
002186,全聚德,北京市,H62
002187,广百股份,广东省,F52
002188,*ST 巴士,浙江省,L72
002189,中光学,河南省,C39
002190,成飞集成,四川省,C36
002191,劲嘉股份,广东省,C23
002192,融捷股份,广东省,B09
002193,如意集团,山东省,C17
002194,武汉凡谷,湖北省,C39
002195,二三四五,上海市,I65
002196,方正电机,浙江省,C35
002197,证通电子,广东省,I65
002198,嘉应制药,广东省,C27
002199,东晶电子,浙江省,C39
002201,正威新材,江苏省,C30
002202,金风科技,新疆维吾尔自治区,C34
002203,海亮股份,浙江省,C32
002204,大连重工,辽宁省,C35
002205,国统股份,新疆维吾尔自治区,C30
002206,海利得,浙江省,C28
002207,准油股份,新疆维吾尔自治区,B11
002208,合肥城建,安徽省,K70
002209,达意隆,广东省,C35
002210,飞马国际,广东省,L72
002212,天融信,广东省,I65
002213,大为股份,广东省,C36
002214,大立科技,浙江省,C39
002215,诺普信,广东省,C26
002216,三全食品,河南省,C14
002217,合力泰,福建省,C39
002218,拓日新能,广东省,C38
002219,*ST 恒康,甘肃省,Q83
002221,东华能源,江苏省,F51
002222,福晶科技,福建省,C39
002223,鱼跃医疗,江苏省,C35
002224,三力士,浙江省,C29
002225,濮耐股份,河南省,C30
002226,江南化工,安徽省,C26
002227,奥特迅,广东省,C38
002228,合兴包装,福建省,C22
002229,鸿博股份,福建省,C23
002230,科大讯飞,安徽省,I65
002231,奥维通信,辽宁省,C39
002232,启明信息,吉林省,I65
002233,塔牌集团,广东省,C30
002234,民和股份,山东省,A03
002235,安妮股份,福建省,I64
002236,大华股份,浙江省,C39
002237,恒邦股份,山东省,C32
002238,天威视讯,广东省,I63
002239,奥特佳,江苏省,C36
002240,盛新锂能,四川省,C32
002241,歌尔股份,山东省,C39
002242,九阳股份,山东省,C38
002243,力合科创,广东省,C29
002244,滨江集团,浙江省,K70
002245,蔚蓝锂芯,江苏省,C38
002246,北化股份,四川省,C26
002247,聚力文化,浙江省,I64
002248,华东数控,山东省,C34
002249,大洋电机,广东省,C38
002250,联化科技,浙江省,C26
002251,步步高,湖南省,F52
002252,上海莱士,上海市,C27
002253,川大智胜,四川省,I65
002254,泰和新材,山东省,C28
002255,海陆重工,江苏省,C34
002256,兆新股份,广东省,D44
002258,利尔化学,四川省,C26
002261,拓维信息,湖南省,I65
002262,恩华药业,江苏省,C27
002263,大东南,浙江省,C29
002264,新华都,福建省,F52
002265,西仪股份,云南省,C36
002266,浙富控股,浙江省,N77
002267,陕天然气,陕西省,D45
002268,卫士通,四川省,I65
002269,美邦服饰,上海市,C18
002270,华明装备,山东省,C38
002271,东方雨虹,北京市,C30
002272,川润股份,四川省,C34
002273,水晶光电,浙江省,C39
002274,华昌化工,江苏省,C26
002275,桂林三金,广西壮族自治区,C27
002276,万马股份,浙江省,C38
002277,友阿股份,湖南省,F52
002278,神开股份,上海市,C35
002279,久其软件,北京市,I65
002280,联络互动,浙江省,F52
002281,光迅科技,湖北省,C39
002282,博深股份,河北省,C34
002283,天润工业,山东省,C36
002284,亚太股份,浙江省,C36
002285,世联行,广东省,K70
002286,保龄宝,山东省,C13
002287,奇正藏药,西藏自治区,C27
002288,超华科技,广东省,C39
002289,宇顺电子,广东省,C39
002290,禾盛新材,江苏省,C38
002291,星期六,广东省,C18
002292,奥飞娱乐,广东省,C24
002293,罗莱生活,江苏省,C17
002294,信立泰,广东省,C27
002295,精艺股份,广东省,C32
002296,辉煌科技,河南省,C39
002297,博云新材,湖南省,C30
002298,中电兴发,安徽省,I65
002299,圣农发展,福建省,A03
002300,太阳电缆,福建省,C38
002301,齐心集团,广东省,C24
002302,西部建设,新疆维吾尔自治区,C30
002303,美盈森,广东省,C22
002304,洋河股份,江苏省,C15
002305,南国置业,湖北省,K70
002306,中科云网,北京市,I64
002307,北新路桥,新疆维吾尔自治区,E48
002308,威创股份,广东省,C39
002310,东方园林,北京市,N77
002311,海大集团,广东省,C13
002312,川发龙蟒,四川省,C26
002314,南山控股,广东省,K70
002315,焦点科技,江苏省,I64
002317,众生药业,广东省,C27
002318,久立特材,浙江省,C33
002319,乐通股份,广东省,C26
002320,海峡股份,海南省,G55
002322,理工能科,浙江省,I65
002323,*ST 雅博,山东省,E50
002324,普利特,上海市,C29
002325,洪涛股份,广东省,E50
002326,永太科技,浙江省,C26
002327,富安娜,广东省,C17
002328,新朋股份,上海市,C36
002329,皇氏集团,广西壮族自治区,C14
002330,得利斯,山东省,C13
002331,皖通科技,安徽省,I65
002332,仙琚制药,浙江省,C27
002333,罗普斯金,江苏省,C32
002334,英威腾,广东省,C38
002335,科华数据,福建省,C38
002336,人人乐,广东省,F52
002337,赛象科技,天津市,C35
002338,奥普光电,吉林省,C40
002339,积成电子,山东省,C38
002340,格林美,广东省,C42
002341,新纶新材,广东省,C26
002342,巨力索具,河北省,C33
002343,慈文传媒,浙江省,R86
002344,海宁皮城,浙江省,L72
002345,潮宏基,广东省,C41
002346,柘中股份,上海市,C38
002347,泰尔股份,安徽省,C34
002348,高乐股份,广东省,C24
002349,精华制药,江苏省,C27
002350,北京科锐,北京市,C38
002351,漫步者,广东省,C39
002352,顺丰控股,广东省,G60
002353,杰瑞股份,山东省,C35
002354,天娱数科,辽宁省,I64
002355,兴民智通,山东省,C36
002356,*ST 赫美,广东省,F52
002357,富临运业,四川省,G54
002358,ST 森源,河南省,C38
002360,同德化工,山西省,C26
002361,神剑股份,安徽省,C26
002362,汉王科技,北京市,C39
002363,隆基机械,山东省,C36
002364,中恒电气,浙江省,C38
002365,永安药业,湖北省,C27
002367,康力电梯,江苏省,C34
002368,太极股份,北京市,I65
002369,卓翼科技,广东省,C39
002370,亚太药业,浙江省,C27
002371,北方华创,北京市,C35
002372,伟星新材,浙江省,C29
002373,千方科技,北京市,I65
002374,中锐股份,山东省,C33
002375,亚厦股份,浙江省,E50
002376,新北洋,山东省,C39
002377,国创高新,湖北省,K70
002378,章源钨业,江西省,C32
002379,宏创控股,山东省,C32
002380,科远智慧,江苏省,I65
002381,双箭股份,浙江省,C29
002382,蓝帆医疗,山东省,C35
002383,合众思壮,北京市,C39
002384,东山精密,江苏省,C39
002385,大北农,北京市,C13
002386,天原股份,四川省,C26
002387,维信诺,江苏省,C39
002388,新亚制程,广东省,C39
002389,航天彩虹,浙江省,C39
002390,信邦制药,贵州省,C27
002391,长青股份,江苏省,C26
002392,北京利尔,北京市,C30
002393,力生制药,天津市,C27
002394,联发股份,江苏省,C17
